comment_id,season,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
14030,2024.0,1422123,GT v MI,GT,MI,GT,1,5,3,0,"Mulani to Shubman Gill, no run",False,False,False,1070173,Shubman Gill,12,11,1131607,Shams Mulani,0.3,0,2,0,1151288,Sai Sudharsan,1,1,625383.0,Jasprit Bumrah,1.0,0.0,4.0,1.0,,,,,,,False,"around the stumps again. Full on middle, and he closes the bat's face before guiding a shot to square leg. Fielder runs square to cut down any chance of one",,
14040,2024.0,1422123,GT v MI,GT,MI,GT,1,5,4,4,"Mulani to Shubman Gill, FOUR",True,False,False,1070173,Shubman Gill,16,12,1131607,Shams Mulani,0.4,0,6,0,1151288,Sai Sudharsan,1,1,625383.0,Jasprit Bumrah,1.0,0.0,4.0,1.0,,,,,,,False,"short ball, fifth-stump line, and Gill doesn't need a second invitation. Cut off the back foot, and slapped in front of square","<p>one slip for Gill, by the way</p>",
14050,2024.0,1422123,GT v MI,GT,MI,GT,1,5,5,0,"Mulani to Shubman Gill, no run",False,False,False,1070173,Shubman Gill,16,13,1131607,Shams Mulani,0.5,0,6,0,1151288,Sai Sudharsan,1,1,625383.0,Jasprit Bumrah,1.0,0.0,4.0,1.0,,,,,,,False,full ball on middle and leg. Gill presses forward to smother a drive through the leg side but misses. Hits his pad,,
14060,2024.0,1422123,GT v MI,GT,MI,GT,1,5,6,6,"Mulani to Shubman Gill, SIX",True,False,False,1070173,Shubman Gill,22,14,1131607,Shams Mulani,1.0,0,12,0,1151288,Sai Sudharsan,1,1,625383.0,Jasprit Bumrah,1.0,0.0,4.0,1.0,,,,,,,False,"<B>high and mighty!</b> Full ball just outside off. Gill gets low, planting his front foot across the line, and then plays a slog sweep beautifully. Placed over square leg, who was inside the circle, making it a relatively safe shot",,
15010,2024.0,1422123,GT v MI,GT,MI,GT,1,6,1,1,"Chawla to Sai Sudharsan, 1 run",False,False,False,1151288,Sai Sudharsan,2,2,32966,Piyush Chawla,0.1,0,1,0,1070173,Shubman Gill,22,14,1131607.0,Shams Mulani,1.0,0.0,12.0,0.0,,,,,,,False,good length ball around middle. Wrong'un to start. Flat-bats a shot off the back foot to deep midwicket,,
15020,2024.0,1422123,GT v MI,GT,MI,GT,1,6,2,0,"Chawla to Shubman Gill, no run",False,False,False,1070173,Shubman Gill,22,15,32966,Piyush Chawla,0.2,0,1,0,1151288,Sai Sudharsan,2,2,1131607.0,Shams Mulani,1.0,0.0,12.0,0.0,,,,,,,False,flatter delivery. Good length around off and skidding through. Fended off the back foot,,
15030,2024.0,1422123,GT v MI,GT,MI,GT,1,6,3,1,"Chawla to Shubman Gill, 1 run",False,False,False,1070173,Shubman Gill,23,16,32966,Piyush Chawla,0.3,0,2,0,1151288,Sai Sudharsan,2,2,1131607.0,Shams Mulani,1.0,0.0,12.0,0.0,,,,,,,False,"flat again. Full on middle, and skidding into leg. Gill flicks off the back foot to square leg",<p>we're swiftly well into the last powerplay over</p>,
15040,2024.0,1422123,GT v MI,GT,MI,GT,1,6,4,0,"Chawla to Sai Sudharsan, no run",False,False,False,1151288,Sai Sudharsan,2,3,32966,Piyush Chawla,0.4,0,2,0,1070173,Shubman Gill,23,16,1131607.0,Shams Mulani,1.0,0.0,12.0,0.0,,,,,,,False,good length ball on off stump. Sudharsan mows a back-foot shot down to long on,,
15050,2024.0,1422123,GT v MI,GT,MI,GT,1,6,5,0,"Chawla to Sai Sudharsan, no run",False,False,False,1151288,Sai Sudharsan,2,4,32966,Piyush Chawla,0.5,0,2,0,1070173,Shubman Gill,23,16,1131607.0,Shams Mulani,1.0,0.0,12.0,0.0,,,,,,,False,good length ball around off. Stays on the back foot and cuts to backward point,,
15060,2024.0,1422123,GT v MI,GT,MI,GT,1,6,6,2,"Chawla to Sai Sudharsan, 2 runs",False,False,False,1151288,Sai Sudharsan,4,5,32966,Piyush Chawla,1.0,0,4,0,1070173,Shubman Gill,23,16,1131607.0,Shams Mulani,1.0,0.0,12.0,0.0,,,,,,,False,full ball on middle and off. Sudharsan tentatively drives past mid off diving to his right. Hardik from cover runs across to keep it down to two. Chawla closes out the powerplay in a quiet manner for Mumbai,,"<p>Satish: ""Really hope Bumrah gets to captain some IPL team next year.. Fela's got all the qualities to be one of the greatest.. ""</p>"
16010,2024.0,1422123,GT v MI,GT,MI,GT,1,7,1,1,"Mulani to Shubman Gill, 1 run",False,False,False,1070173,Shubman Gill,24,17,1131607,Shams Mulani,1.1,0,13,0,1151288,Sai Sudharsan,4,5,32966.0,Piyush Chawla,1.0,0.0,4.0,0.0,,,,,,,False,good length ball outside off. Punched with the turn to long off for a jogging single,"<p>Raghu: ""Did crowd boo hardik?"" -- My colleague Kaustubh said there might've been some boos</p>",
16020,2024.0,1422123,GT v MI,GT,MI,GT,1,7,2,0,"Mulani to Sai Sudharsan, no run",False,False,False,1151288,Sai Sudharsan,4,6,1131607,Shams Mulani,1.2,0,13,0,1070173,Shubman Gill,24,17,32966.0,Piyush Chawla,1.0,0.0,4.0,0.0,,,,,,,False,full ball on off. Sudharsan scurries onto the back foot and flicks this quicker one to midwicket,,
16030,2024.0,1422123,GT v MI,GT,MI,GT,1,7,3,1,"Mulani to Sai Sudharsan, 1 run",False,False,False,1151288,Sai Sudharsan,5,7,1131607,Shams Mulani,1.3,0,14,0,1070173,Shubman Gill,24,17,32966.0,Piyush Chawla,1.0,0.0,4.0,0.0,,,,,,,False,slower through the air. Length ball outside off and turning in. Sudharsan uncomfortably flat-bats a shot past the bowler's right to long off,,
16040,2024.0,1422123,GT v MI,GT,MI,GT,1,7,4,2,"Mulani to Shubman Gill, 2 runs",False,False,False,1070173,Shubman Gill,26,18,1131607,Shams Mulani,1.4,0,16,0,1151288,Sai Sudharsan,5,7,32966.0,Piyush Chawla,1.0,0.0,4.0,0.0,,,,,,,False,"flatter ball from wide of the crease, from around the stumps. Gill goes onto the back foot and tucks this straying ball past his waist. Beats Bumrah at short fine leg but he covers up well to keep it down to two",,
16060,2024.0,1422123,GT v MI,GT,MI,GT,1,7,5,2,"Mulani to Shubman Gill, 2 runs",False,False,False,1070173,Shubman Gill,28,19,1131607,Shams Mulani,1.5,0,19,0,1151288,Sai Sudharsan,5,7,32966.0,Piyush Chawla,1.0,0.0,4.0,0.0,,,,,,,False,good length ball on a fourth-stump line. Gill cuts it past backward point and calls nice and early for two. Deep cover has a lot of running around to do there,,
16050,2024.0,1422123,GT v MI,GT,MI,GT,1,7,5,1,"Mulani to Shubman Gill, 1 wide",False,True,False,1070173,Shubman Gill,26,18,1131607,Shams Mulani,1.4,0,17,0,1151288,Sai Sudharsan,5,7,32966.0,Piyush Chawla,1.0,0.0,4.0,0.0,,,,,,,False,full floaty ball lands just outside leg. Slides further down with Gill pulling out of any shot,,
16070,2024.0,1422123,GT v MI,GT,MI,GT,1,7,6,2,"Mulani to Shubman Gill, 2 runs",False,False,False,1070173,Shubman Gill,30,20,1131607,Shams Mulani,2.0,0,21,0,1151288,Sai Sudharsan,5,7,32966.0,Piyush Chawla,1.0,0.0,4.0,0.0,,,,,,,False,"full ball around off. Chops a cut awkwardly, but places it behind square irrespective. Two more to the total",<p>Gill pulls out so Mulani will have to reload</p>,
17020,2024.0,1422123,GT v MI,GT,MI,GT,1,8,1,1,"Chawla to Sai Sudharsan, 1 run",False,False,False,1151288,Sai Sudharsan,6,8,32966,Piyush Chawla,1.1,0,10,0,1070173,Shubman Gill,30,20,1131607.0,Shams Mulani,2.0,0.0,21.0,0.0,,,,,,,False,"keeps it on the stumps. Fullish ball on middle, and Sudharsan gets onto the back foot for a cut",,
17010,2024.0,1422123,GT v MI,GT,MI,GT,1,8,1,5,"Chawla to Sai Sudharsan, 5 wides",False,True,False,1151288,Sai Sudharsan,5,7,32966,Piyush Chawla,1.0,0,9,0,1070173,Shubman Gill,30,20,1131607.0,Shams Mulani,2.0,0.0,21.0,0.0,,,,,,,False,"<B>poor line, and Kishan fluffs it too!</b> He lets one rip but it lands just outside leg stump. Sudharsan tries the sweep but fails, and Kishan's vision might've been blocked there. Five wides to start",,
17030,2024.0,1422123,GT v MI,GT,MI,GT,1,8,2,1,"Chawla to Shubman Gill, 1 run",False,False,False,1070173,Shubman Gill,31,21,32966,Piyush Chawla,1.2,0,11,0,1151288,Sai Sudharsan,6,8,1131607.0,Shams Mulani,2.0,0.0,21.0,0.0,,,,,,,False,full ball just outside off. Gill pumps a drive through the covers with a sweet sound off the bat. But protection at deep extra,"<p>Tendulkar is in the Mumbai dugout, wearing the MI jersey. Spotted chatting with Boucher, the head coach</p>",
17040,2024.0,1422123,GT v MI,GT,MI,GT,1,8,3,1,"Chawla to Sai Sudharsan, 1 run",False,False,False,1151288,Sai Sudharsan,7,9,32966,Piyush Chawla,1.3,0,12,0,1070173,Shubman Gill,31,21,1131607.0,Shams Mulani,2.0,0.0,21.0,0.0,,,,,,,False,"full ball, tosses it a bit more. Sudharsan comes down the track and flicks to wide long on",,
17050,2024.0,1422123,GT v MI,GT,MI,GT,1,8,4,0,"Chawla to Shubman Gill, OUT",False,False,False,1070173,Shubman Gill,31,22,32966,Piyush Chawla,1.4,0,12,1,1151288,Sai Sudharsan,7,9,1131607.0,Shams Mulani,2.0,0.0,21.0,0.0,1070173.0,Shubman Gill,Piyush Chawla,31.0,22.0,Shubman Gill c Sharma b Chawla 31 (35m 22b 3x4 1x6) SR: 140.90,False,"<B>this is why IPL teams still back Piyush Chawla!</b> He has the knack of taking wickets and he has delivered with a massive scalp. Chawla lets a quicker one rip, and Gill comes down the track to hit him over long on. But Gill's shot doesn't have the distance and Rohit takes a simple catch on the line",,
17060,2024.0,1422123,GT v MI,GT,MI,GT,1,8,5,1,"Chawla to Azmatullah Omarzai, 1 run",False,False,False,819429,Azmatullah Omarzai,1,1,32966,Piyush Chawla,1.5,0,13,1,1151288,Sai Sudharsan,7,9,1131607.0,Shams Mulani,2.0,0.0,21.0,0.0,,,,,,,False,full ball outside off. Googly driven to long off,,
17070,2024.0,1422123,GT v MI,GT,MI,GT,1,8,6,1,"Chawla to Sai Sudharsan, 1 run",False,False,False,1151288,Sai Sudharsan,8,10,32966,Piyush Chawla,2.0,0,14,1,819429,Azmatullah Omarzai,1,1,1131607.0,Shams Mulani,2.0,0.0,21.0,0.0,,,,,,,False,length ball on middle and he clips it off the back foot to keep strike,,
18010,2024.0,1422123,GT v MI,GT,MI,GT,1,9,1,0,"Mulani to Sai Sudharsan, no run",False,False,False,1151288,Sai Sudharsan,8,11,1131607,Shams Mulani,2.1,0,21,0,819429,Azmatullah Omarzai,1,1,32966.0,Piyush Chawla,2.0,0.0,14.0,1.0,,,,,,,False,worked off his pad to the leg side,<p>Mulani to continue</p>,
18020,2024.0,1422123,GT v MI,GT,MI,GT,1,9,2,1,"Mulani to Sai Sudharsan, 1 run",False,False,False,1151288,Sai Sudharsan,9,12,1131607,Shams Mulani,2.2,0,22,0,819429,Azmatullah Omarzai,1,1,32966.0,Piyush Chawla,2.0,0.0,14.0,1.0,,,,,,,False,full ball on off. Stays on the back foot and clips it to deep square leg,,
18030,2024.0,1422123,GT v MI,GT,MI,GT,1,9,3,0,"Mulani to Azmatullah Omarzai, no run",False,False,False,819429,Azmatullah Omarzai,1,2,1131607,Shams Mulani,2.3,0,22,0,1151288,Sai Sudharsan,9,12,32966.0,Piyush Chawla,2.0,0.0,14.0,1.0,,,,,,,False,fullish ball just outside off. Omarzai makes room and attempts a cut. Finds point,,
